Epoch,Accuracy,TP,TN,FP,FN,TPR,TNR
1502,0.5811623334884644,233,57,153,56,0.8062283737024222,0.2714285714285714
3502,0.6372745633125305,260,58,152,29,0.8996539792387543,0.2761904761904762
5502,0.6132264733314514,246,60,150,43,0.8512110726643599,0.2857142857142857
7502,0.6192384958267212,246,63,147,43,0.8512110726643599,0.3
9502,0.6653306484222412,270,62,148,19,0.9342560553633218,0.29523809523809524
1503,0.6206896305084229,259,65,160,38,0.8720538720538721,0.28888888888888886
3503,0.6053639650344849,259,57,168,38,0.8720538720538721,0.25333333333333335
5503,0.6245210766792297,266,60,165,31,0.8956228956228957,0.26666666666666666
7503,0.6302682161331177,267,62,163,30,0.898989898989899,0.27555555555555555
9503,0.6264367699623108,274,53,172,23,0.9225589225589226,0.23555555555555555
1504,0.5630081295967102,229,48,152,63,0.7842465753424658,0.24
3504,0.6544715166091919,267,55,145,25,0.9143835616438356,0.275
5504,0.6402438879013062,252,63,137,40,0.863013698630137,0.315
7504,0.6605691313743591,263,62,138,29,0.9006849315068494,0.31
9504,0.6605691313743591,263,62,138,29,0.9006849315068494,0.31
1505,0.6052104234695435,242,60,154,43,0.8491228070175438,0.2803738317757009
3505,0.6152304410934448,245,62,152,40,0.8596491228070176,0.2897196261682243
5505,0.6452905535697937,263,59,155,22,0.9228070175438596,0.2757009345794392
7505,0.625250518321991,243,69,145,42,0.8526315789473684,0.32242990654205606
9505,0.6212424635887146,255,55,159,30,0.8947368421052632,0.2570093457943925
