Epoch,Accuracy,TP,TN,FP,FN,TPR,TNR
1,0.40040650963783264,0,197,0,295,0.0,1.0
2,0.42084169387817383,0,210,0,289,0.0,1.0
3,0.43103447556495667,0,225,0,297,0.0,1.0
4,0.4065040647983551,0,200,0,292,0.0,1.0
5,0.4288577139377594,0,214,0,285,0.0,1.0
501,0.6056910753250122,231,67,130,64,0.7830508474576271,0.3401015228426396
502,0.5811623334884644,219,71,139,70,0.7577854671280276,0.3380952380952381
503,0.524904191493988,211,63,162,86,0.7104377104377104,0.28
504,0.5528455376625061,213,59,141,79,0.7294520547945206,0.295
505,0.5390781760215759,202,67,147,83,0.7087719298245614,0.3130841121495327
1001,0.5711382031440735,245,36,161,50,0.8305084745762712,0.18274111675126903
1002,0.5731462836265564,240,46,164,49,0.8304498269896193,0.21904761904761905
1003,0.5747126340866089,250,50,175,47,0.8417508417508418,0.2222222222222222
1004,0.6361788511276245,263,50,150,29,0.9006849315068494,0.25
1005,0.6032063961029053,254,47,167,31,0.8912280701754386,0.21962616822429906
1501,0.6565040946006775,256,67,130,39,0.8677966101694915,0.3401015228426396
1502,0.5811623334884644,233,57,153,56,0.8062283737024222,0.2714285714285714
1503,0.6206896305084229,259,65,160,38,0.8720538720538721,0.28888888888888886
1504,0.5630081295967102,229,48,152,63,0.7842465753424658,0.24
1505,0.6052104234695435,242,60,154,43,0.8491228070175438,0.2803738317757009
2001,0.6930894255638123,285,56,141,10,0.9661016949152542,0.28426395939086296
2002,0.585170328617096,258,34,176,31,0.8927335640138409,0.1619047619047619
2003,0.6130267977714539,269,51,174,28,0.9057239057239057,0.22666666666666666
2004,0.6402438879013062,269,46,154,23,0.9212328767123288,0.23
2005,0.6012024283409119,244,56,158,41,0.856140350877193,0.2616822429906542
2501,0.642276406288147,267,49,148,28,0.9050847457627119,0.24873096446700507
2502,0.6132264733314514,252,54,156,37,0.8719723183391004,0.2571428571428571
2503,0.6187739372253418,267,56,169,30,0.898989898989899,0.24888888888888888
2504,0.6382113695144653,255,59,141,37,0.8732876712328768,0.295
2505,0.625250518321991,251,61,153,34,0.8807017543859649,0.2850467289719626
3001,0.6483739614486694,267,52,145,28,0.9050847457627119,0.2639593908629442
3002,0.5931863784790039,241,55,155,48,0.8339100346020761,0.2619047619047619
3003,0.6130267977714539,259,61,164,38,0.8720538720538721,0.27111111111111114
3004,0.6605691313743591,264,61,139,28,0.9041095890410958,0.305
3005,0.6533066034317017,261,65,149,24,0.9157894736842105,0.3037383177570093
3501,0.6565040946006775,261,62,135,34,0.8847457627118644,0.3147208121827411
3502,0.6372745633125305,260,58,152,29,0.8996539792387543,0.2761904761904762
3503,0.6053639650344849,259,57,168,38,0.8720538720538721,0.25333333333333335
3504,0.6544715166091919,267,55,145,25,0.9143835616438356,0.275
3505,0.6152304410934448,245,62,152,40,0.8596491228070176,0.2897196261682243
4001,0.6321138143539429,255,56,141,40,0.864406779661017,0.28426395939086296
4002,0.609218418598175,245,59,151,44,0.8477508650519031,0.28095238095238095
4003,0.6245210766792297,270,56,169,27,0.9090909090909091,0.24888888888888888
4004,0.6016260385513306,237,59,141,55,0.8116438356164384,0.295
4005,0.6432865858078003,254,67,147,31,0.8912280701754386,0.3130841121495327
4501,0.6605691313743591,268,57,140,27,0.9084745762711864,0.2893401015228426
4502,0.6192384958267212,251,58,152,38,0.8685121107266436,0.2761904761904762
4503,0.6455938816070557,277,60,165,20,0.9326599326599326,0.26666666666666666
4504,0.6504064798355103,265,55,145,27,0.9075342465753424,0.275
4505,0.6332665085792542,251,65,149,34,0.8807017543859649,0.3037383177570093
5001,0.672764241695404,273,58,139,22,0.9254237288135593,0.29441624365482233
5002,0.657314658164978,262,66,144,27,0.9065743944636678,0.3142857142857143
5003,0.6149425506591797,258,63,162,39,0.8686868686868687,0.28
5004,0.6056910753250122,246,52,148,46,0.8424657534246576,0.26
5005,0.6212424635887146,250,60,154,35,0.8771929824561403,0.2803738317757009
5501,0.6747967600822449,268,64,133,27,0.9084745762711864,0.3248730964467005
5502,0.6132264733314514,246,60,150,43,0.8512110726643599,0.2857142857142857
5503,0.6245210766792297,266,60,165,31,0.8956228956228957,0.26666666666666666
5504,0.6402438879013062,252,63,137,40,0.863013698630137,0.315
5505,0.6452905535697937,263,59,155,22,0.9228070175438596,0.2757009345794392
